"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Garfield","United States President Democratic Party","Michael Bennet"," ","1","0.3759","Federal"
"Garfield","United States President Democratic Party","Joseph R. Biden"," ","107","40.2256","Federal"
"Garfield","United States President Democratic Party","Michael Bloomberg"," ","30","11.2782","Federal"
"Garfield","United States President Democratic Party","Cory Booker"," ","0","0","Federal"
"Garfield","United States President Democratic Party","Pete Buttigieg"," ","20","7.5188","Federal"
"Garfield","United States President Democratic Party","John Delaney"," ","0","0","Federal"
"Garfield","United States President Democratic Party","Tulsi Gabbard"," ","4","1.5038","Federal"
"Garfield","United States President Democratic Party","Amy Klobuchar"," ","13","4.8872","Federal"
"Garfield","United States President Democratic Party","Deval Patrick"," ","0","0","Federal"
"Garfield","United States President Democratic Party","Bernie Sanders"," ","62","23.3083","Federal"
"Garfield","United States President Democratic Party","Tom Steyer"," ","2","0.7519","Federal"
"Garfield","United States President Democratic Party","Elizabeth Warren"," ","26","9.7744","Federal"
"Garfield","United States President Democratic Party","Andrew Yang"," ","0","0","Federal"
"Garfield","United States President Democratic Party","Uncommitted Delegates"," ","0","0","Federal"
"Garfield","United States President Democratic Party","Write-in"," ","1","0.3759","Federal"
"Garfield","United States President Republican Party","Donald J. Trump"," ","550","99.8185","Federal"
"Garfield","United States President Republican Party","Write-in"," ","1","0.1815","Federal"
"Grant","United States President Democratic Party","Michael Bennet"," ","23","0.3369","Federal"
"Grant","United States President Democratic Party","Joseph R. Biden"," ","2276","33.3431","Federal"
"Grant","United States President Democratic Party","Michael Bloomberg"," ","951","13.932","Federal"
"Grant","United States President Democratic Party","Cory Booker"," ","17","0.249","Federal"
"Grant","United States President Democratic Party","Pete Buttigieg"," ","381","5.5816","Federal"
"Grant","United States President Democratic Party","John Delaney"," ","4","0.0586","Federal"
"Grant","United States President Democratic Party","Tulsi Gabbard"," ","91","1.3331","Federal"
"Grant","United States President Democratic Party","Amy Klobuchar"," ","213","3.1204","Federal"
"Grant","United States President Democratic Party","Deval Patrick"," ","2","0.0293","Federal"
"Grant","United States President Democratic Party","Bernie Sanders"," ","2285","33.4749","Federal"
"Grant","United States President Democratic Party","Tom Steyer"," ","35","0.5127","Federal"
"Grant","United States President Democratic Party","Elizabeth Warren"," ","438","6.4166","Federal"
"Grant","United States President Democratic Party","Andrew Yang"," ","34","0.4981","Federal"
"Grant","United States President Democratic Party","Uncommitted Delegates"," ","59","0.8643","Federal"
"Grant","United States President Democratic Party","Write-in"," ","17","0.249","Federal"
"Grant","United States President Republican Party","Donald J. Trump"," ","12303","99.2017","Federal"
"Grant","United States President Republican Party","Write-in"," ","99","0.7983","Federal"
"Grays Harbor","United States President Democratic Party","Michael Bennet"," ","24","0.2066","Federal"
"Grays Harbor","United States President Democratic Party","Joseph R. Biden"," ","4097","35.2703","Federal"
"Grays Harbor","United States President Democratic Party","Michael Bloomberg"," ","1495","12.8702","Federal"
"Grays Harbor","United States President Democratic Party","Cory Booker"," ","13","0.1119","Federal"
"Grays Harbor","United States President Democratic Party","Pete Buttigieg"," ","632","5.4408","Federal"
"Grays Harbor","United States President Democratic Party","John Delaney"," ","9","0.0775","Federal"
"Grays Harbor","United States President Democratic Party","Tulsi Gabbard"," ","111","0.9556","Federal"
"Grays Harbor","United States President Democratic Party","Amy Klobuchar"," ","305","2.6257","Federal"
"Grays Harbor","United States President Democratic Party","Deval Patrick"," ","5","0.043","Federal"
"Grays Harbor","United States President Democratic Party","Bernie Sanders"," ","3865","33.2731","Federal"
"Grays Harbor","United States President Democratic Party","Tom Steyer"," ","59","0.5079","Federal"
"Grays Harbor","United States President Democratic Party","Elizabeth Warren"," ","853","7.3433","Federal"
"Grays Harbor","United States President Democratic Party","Andrew Yang"," ","53","0.4563","Federal"
"Grays Harbor","United States President Democratic Party","Uncommitted Delegates"," ","74","0.6371","Federal"
"Grays Harbor","United States President Democratic Party","Write-in"," ","21","0.1808","Federal"
"Grays Harbor","United States President Republican Party","Donald J. Trump"," ","8823","98.9126","Federal"
"Grays Harbor","United States President Republican Party","Write-in"," ","97","1.0874","Federal"
"Island","United States President Democratic Party","Michael Bennet"," ","17","0.0814","Federal"
"Island","United States President Democratic Party","Joseph R. Biden"," ","8394","40.1992","Federal"
"Island","United States President Democratic Party","Michael Bloomberg"," ","1873","8.9699","Federal"
"Island","United States President Democratic Party","Cory Booker"," ","13","0.0623","Federal"
"Island","United States President Democratic Party","Pete Buttigieg"," ","1082","5.1817","Federal"
"Island","United States President Democratic Party","John Delaney"," ","10","0.0479","Federal"
"Island","United States President Democratic Party","Tulsi Gabbard"," ","233","1.1158","Federal"
"Island","United States President Democratic Party","Amy Klobuchar"," ","750","3.5918","Federal"
"Island","United States President Democratic Party","Deval Patrick"," ","8","0.0383","Federal"
"Island","United States President Democratic Party","Bernie Sanders"," ","6246","29.9124","Federal"
"Island","United States President Democratic Party","Tom Steyer"," ","60","0.2873","Federal"
"Island","United States President Democratic Party","Elizabeth Warren"," ","1991","9.535","Federal"
"Island","United States President Democratic Party","Andrew Yang"," ","69","0.3304","Federal"
"Island","United States President Democratic Party","Uncommitted Delegates"," ","115","0.5507","Federal"
"Island","United States President Democratic Party","Write-in"," ","20","0.0958","Federal"
"Island","United States President Republican Party","Donald J. Trump"," ","11304","97.9125","Federal"
"Island","United States President Republican Party","Write-in"," ","241","2.0875","Federal"
"Jefferson","United States President Democratic Party","Michael Bennet"," ","11","0.0796","Federal"
"Jefferson","United States President Democratic Party","Joseph R. Biden"," ","5086","36.8231","Federal"
"Jefferson","United States President Democratic Party","Michael Bloomberg"," ","930","6.7333","Federal"
"Jefferson","United States President Democratic Party","Cory Booker"," ","11","0.0796","Federal"
"Jefferson","United States President Democratic Party","Pete Buttigieg"," ","474","3.4318","Federal"
"Jefferson","United States President Democratic Party","John Delaney"," ","6","0.0434","Federal"
"Jefferson","United States President Democratic Party","Tulsi Gabbard"," ","114","0.8254","Federal"
"Jefferson","United States President Democratic Party","Amy Klobuchar"," ","386","2.7947","Federal"
"Jefferson","United States President Democratic Party","Deval Patrick"," ","5","0.0362","Federal"
"Jefferson","United States President Democratic Party","Bernie Sanders"," ","5163","37.3805","Federal"
"Jefferson","United States President Democratic Party","Tom Steyer"," ","27","0.1955","Federal"
