Office,Parish,Ward,Precinct,"Joseph R. Biden, Kamala Harris Democratic (DEM)","Jo Jorgensen, Jeremy Cohen Libertarian (LBT)","Donald J. Trump, Michael Pence Republican (REP)","Brian Carroll, Amar Patel American Solidarity Party (OTH)","Jade Simmons, Claudeliah Roze Becoming One Nation (OTH)","President Boddie,Eric Stoneham C.U.P. (OTH)","Don Blankenship, William Mohr Constitution Party (OTH)","Brock Pierce, Karla Ballard Freedom and Prosperity (OTH)","Tom Hoefling, Andy Prior Life, Liberty, Constitution (OTH)","Gloria La Riva, Sunil Freeman Socialism and Liberation (OTH)","Alyson Kennedy,Malcolm Jarrett Socialist Workers Party (OTH)","Kanye West, Michelle Tidball The Birthday Party (OTH)","Bill Hammons, Eric Bodenstab Unity Party America (OTH)"
"Presidential Electors","East Baton Rouge","01","053 B","91","3","159","0","0","1","0","0","0","0","1","1","0"
"Presidential Electors","East Baton Rouge","01","054 A","317","3","108","0","2","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","054 B","361","3","122","2","0","0","0","1","1","1","0","4","0"
"Presidential Electors","East Baton Rouge","01","055 A","129","4","148","0","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","055 B","126","4","185","1","0","0","0","0","0","0","0","2","1"
"Presidential Electors","East Baton Rouge","01","056 A","116","16","332","0","0","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","01","056 B","116","14","375","2","0","0","0","0","1","0","0","1","1"
"Presidential Electors","East Baton Rouge","01","057","132","7","106","0","0","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","01","058 A","302","0","24","0","4","0","0","0","0","0","1","1","0"
"Presidential Electors","East Baton Rouge","01","058 B","233","0","22","1","0","0","0","0","0","0","0","6","0"
"Presidential Electors","East Baton Rouge","01","059","256","4","8","1","2","1","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","01","060 A","185","5","168","3","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","060 B","131","6","160","0","0","1","1","1","0","0","1","2","0"
"Presidential Electors","East Baton Rouge","01","061","475","2","24","2","0","0","1","2","1","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","062","351","0","16","0","1","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","063 A","217","4","6","1","1","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","01","063 B","189","1","12","1","0","1","0","2","0","0","0","2","1"
"Presidential Electors","East Baton Rouge","01","064","121","11","136","1","0","0","0","0","0","2","2","1","0"
"Presidential Electors","East Baton Rouge","01","065","180","9","150","1","3","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","066 A","129","5","102","0","0","0","0","0","0","0","1","3","0"
"Presidential Electors","East Baton Rouge","01","066 B","120","3","108","0","0","0","0","0","0","0","0","2","1"
"Presidential Electors","East Baton Rouge","01","067","216","1","15","0","4","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","068","231","2","6","0","1","1","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","069 A","129","9","154","0","0","0","1","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","069 B","131","6","181","2","0","0","0","0","1","0","0","1","1"
"Presidential Electors","East Baton Rouge","01","070 A","296","2","36","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","070 B","263","4","31","1","0","0","0","0","0","1","0","2","2"
"Presidential Electors","East Baton Rouge","01","071 A","171","2","138","0","0","1","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","01","071 B","152","0","122","0","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","072 A","128","5","154","0","0","0","0","0","0","0","0","1","1"
"Presidential Electors","East Baton Rouge","01","072 B","130","5","159","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","073 A","146","5","100","1","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","073 B","145","2","100","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","074 A","99","6","244","2","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","01","074 B","104","4","252","5","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","075 A","92","5","193","3","0","0","0","0","1","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","075 B","90","4","174","2","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","076","228","13","148","3","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","077 A","344","1","16","0","0","0","1","0","0","1","0","4","0"
"Presidential Electors","East Baton Rouge","01","077 B","329","2","10","0","2","0","0","1","1","1","0","3","0"
"Presidential Electors","East Baton Rouge","01","078 A","233","2","33","0","1","0","0","0","1","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","078 B","166","6","28","0","0","0","0","0","0","0","0","0","1"
"Presidential Electors","East Baton Rouge","01","079","155","12","184","3","2","0","0","0","0","0","0","5","1"
"Presidential Electors","East Baton Rouge","01","080 A","142","6","218","1","0","0","0","1","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","01","080 B","125","9","179","0","0","0","1","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","081 A","182","3","60","0","1","0","0","0","0","2","0","2","1"
"Presidential Electors","East Baton Rouge","01","081 B","145","4","51","0","3","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","082 A","251","3","41","1","0","1","0","2","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","082 B","248","3","41","2","0","0","0","1","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","01","083 A","176","3","73","0","0","0","0","0","0","0","0","1","1"
"Presidential Electors","East Baton Rouge","01","083 B","156","0","66","0","2","1","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","01","084","430","2","22","1","0","0","0","1","0","0","0","4","0"
"Presidential Electors","East Baton Rouge","01","085 A","406","1","13","0","1","2","0","1","1","0","0","0","0"
"Presidential Electors","East Baton Rouge","01","085 B","337","4","11","0","1","0","0","1","0","1","1","5","0"
"Presidential Electors","East Baton Rouge","01","086 A","234","2","11","0","1","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","086 B","213","3","10","2","0","0","0","0","0","1","0","3","0"
"Presidential Electors","East Baton Rouge","01","087 A","207","4","121","0","0","0","0","1","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","087 B","204","3","133","0","0","0","1","0","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","01","088","306","3","30","0","0","0","0","1","0","1","0","5","1"
"Presidential Electors","East Baton Rouge","01","089","81","4","240","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","090 A","100","7","140","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","01","090 B","96","4","161","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","091 A","188","1","11","1","0","0","0","1","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","01","091 B","199","0","9","0","3","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","092 A","153","0","10","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","092 B","141","1","6","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","093","126","0","17","1","0","0","1","0","0","0","0","1","1"
"Presidential Electors","East Baton Rouge","01","094","252","2","7","0","0","0","1","0","0","0","0","5","0"
"Presidential Electors","East Baton Rouge","01","095 A","280","3","10","1","1","1","0","0","0","1","0","0","1"
"Presidential Electors","East Baton Rouge","01","095 B","271","3","11","0","0","0","0","0","1","0","0","3","0"
"Presidential Electors","East Baton Rouge","01","097","235","3","94","1","0","1","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","098 A","221","7","260","1","2","0","1","0","1","0","0","5","0"
"Presidential Electors","East Baton Rouge","01","098 B","186","3","250","2","2","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","099 A","224","15","260","0","0","0","1","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","01","099 B","177","8","289","7","2","0","0","0","0","0","1","3","0"
"Presidential Electors","East Baton Rouge","01","100 A","133","0","2","0","1","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","01","100 B","137","0","0","0","1","1","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","101 A","121","1","9","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","101 B","120","0","2","1","2","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","102","299","6","95","1","1","0","0","1","2","0","1","2","0"
"Presidential Electors","East Baton Rouge","01","103 A","116","6","185","1","0","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","01","103 B","121","6","172","0","2","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","104 A","253","3","39","1","1","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","104 B","240","1","34","1","0","1","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","01","105","91","5","336","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","01","107","141","7","134","1","0","0","0","0","0","0","0","1","1"
"Presidential Electors","East Baton Rouge","02","001 A","329","3","36","0","4","1","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","02","001 B","344","1","36","2","0","0","0","1","0","0","0","4","0"
"Presidential Electors","East Baton Rouge","02","002 A","222","1","49","0","0","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","02","002 B","246","2","43","0","1","0","0","1","0","0","0","2","1"
"Presidential Electors","East Baton Rouge","02","003","211","1","127","0","1","1","0","0","1","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","004","344","2","46","0","0","0","0","0","0","1","0","3","0"
"Presidential Electors","East Baton Rouge","02","005","224","9","167","0","0","1","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","006 A","152","5","335","4","1","0","1","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","006 B","125","4","323","0","0","0","0","0","1","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","007 A","96","0","291","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","007 B","85","0","295","0","0","0","1","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","008","29","3","481","1","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","009 A","91","0","19","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","009 B","103","1","12","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","010 A","162","2","117","0","1","1","0","0","0","0","0","2","1"
"Presidential Electors","East Baton Rouge","02","010 B","183","3","72","0","0","0","0","0","1","0","0","4","0"
"Presidential Electors","East Baton Rouge","02","011","324","0","46","0","3","0","1","0","1","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","012 A","309","4","70","0","1","3","0","1","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","012 B","268","0","81","1","0","0","0","1","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","013 A","161","1","57","0","1","0","0","0","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","02","013 B","135","3","62","1","1","1","1","2","1","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","014 A","151","2","110","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","014 B","145","4","92","0","2","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","015","160","3","139","0","0","1","1","1","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","016 A","278","1","10","0","2","1","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","016 B","246","2","11","0","0","0","0","0","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","02","017 A","169","1","53","3","0","1","0","1","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","017 B","146","0","43","1","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","018 A","92","11","331","3","0","0","0","0","0","0","0","4","0"
"Presidential Electors","East Baton Rouge","02","018 B","110","9","299","0","1","1","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","019","212","0","32","0","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","020","128","1","73","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","021","220","10","506","0","1","0","1","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","022 A","245","2","5","0","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","022 B","214","0","3","0","0","1","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","023 A","264","2","10","1","1","0","0","0","0","0","0","2","1"
"Presidential Electors","East Baton Rouge","02","023 B","235","4","11","0","0","0","0","2","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","024","299","1","3","2","0","0","0","0","0","1","0","0","1"
"Presidential Electors","East Baton Rouge","02","025 A","269","3","67","1","0","0","1","1","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","025 B","242","3","64","0","1","0","1","0","1","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","026","197","14","353","0","0","2","0","0","1","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","027 A","231","2","17","1","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","027 B","191","0","23","0","0","0","0","0","0","0","2","1","0"
"Presidential Electors","East Baton Rouge","02","028","387","8","306","1","0","0","0","1","0","1","0","4","0"
"Presidential Electors","East Baton Rouge","02","029","173","14","185","2","0","0","0","1","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","030 A","386","0","12","1","0","0","0","2","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","02","030 B","322","5","11","0","0","2","0","0","1","0","0","4","0"
"Presidential Electors","East Baton Rouge","02","031","153","0","25","1","1","0","0","0","0","0","1","1","0"
"Presidential Electors","East Baton Rouge","02","032","230","6","364","3","3","0","0","0","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","02","033","31","7","537","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","034 A","191","9","257","0","1","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","034 B","224","7","233","1","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","02","035","59","8","352","0","0","1","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","036 A","141","14","262","3","1","0","1","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","02","036 B","119","16","266","2","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","02","037","272","1","71","0","1","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","001 A","57","7","404","0","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","001 B","36","2","423","0","0","0","1","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","002 A","58","5","279","1","0","0","0","0","1","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","002 B","61","0","270","1","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","003 A","89","11","328","0","0","1","0","0","0","0","0","1","1"
"Presidential Electors","East Baton Rouge","03","003 B","107","6","354","2","0","0","0","0","0","0","1","2","0"
"Presidential Electors","East Baton Rouge","03","004 A","107","8","196","1","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","004 B","128","8","193","1","1","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","005","281","23","266","1","0","1","0","0","1","0","1","2","1"
"Presidential Electors","East Baton Rouge","03","006 A","33","5","246","1","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","006 B","15","6","306","0","0","0","0","0","0","1","0","0","0"
"Presidential Electors","East Baton Rouge","03","007 A","95","3","263","1","0","0","1","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","007 B","131","6","277","1","1","0","2","0","1","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","008 A","289","5","65","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","008 B","296","2","68","1","2","0","0","0","1","0","0","4","0"
"Presidential Electors","East Baton Rouge","03","009 A","32","3","300","1","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","009 B","38","3","295","2","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","010","211","8","237","1","0","0","0","1","0","1","0","3","0"
"Presidential Electors","East Baton Rouge","03","011","139","1","51","0","1","0","0","0","0","0","0","2","1"
"Presidential Electors","East Baton Rouge","03","012 A","193","4","144","0","3","0","1","1","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","03","012 B","193","4","180","0","0","1","1","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","03","013","91","8","308","0","0","0","0","1","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","014 A","46","4","170","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","014 B","36","1","150","1","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","015 A","118","9","291","0","0","0","0","0","0","1","0","3","0"
"Presidential Electors","East Baton Rouge","03","015 B","97","8","283","1","1","0","0","0","0","0","0","4","1"
"Presidential Electors","East Baton Rouge","03","016","69","2","338","4","0","0","2","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","017 A","86","7","254","0","1","0","0","0","0","0","0","3","1"
"Presidential Electors","East Baton Rouge","03","017 B","84","9","220","2","0","0","1","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","018 A","167","3","154","0","0","0","1","0","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","03","018 B","180","6","108","0","0","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","03","019 A","52","3","278","0","1","0","0","0","0","1","0","0","1"
"Presidential Electors","East Baton Rouge","03","019 B","56","4","365","1","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","020 A","214","4","56","0","1","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","020 B","170","3","50","0","2","1","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","021 A","199","4","149","3","0","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","03","021 B","172","4","169","1","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","022","54","8","448","0","0","0","0","0","0","0","0","0","1"
"Presidential Electors","East Baton Rouge","03","023 A","117","6","137","1","0","0","0","0","0","0","0","3","1"
"Presidential Electors","East Baton Rouge","03","023 B","117","7","123","1","0","1","0","0","1","1","0","1","1"
"Presidential Electors","East Baton Rouge","03","024 A","245","1","25","0","0","1","1","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","024 B","254","1","33","2","0","0","0","1","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","025 A","72","3","344","0","0","0","0","0","1","0","0","0","1"
"Presidential Electors","East Baton Rouge","03","025 B","39","4","327","1","0","0","0","0","3","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","026 A","63","13","497","3","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","026 B","73","5","389","0","0","0","0","0","1","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","027 A","170","3","127","0","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","027 B","200","6","131","1","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","028 A","139","8","145","0","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","028 B","117","7","170","0","0","1","1","0","1","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","029 A","97","8","153","1","0","0","0","0","1","1","0","2","0"
"Presidential Electors","East Baton Rouge","03","029 B","65","3","181","1","0","0","0","0","0","0","0","0","1"
"Presidential Electors","East Baton Rouge","03","030 A","71","4","339","0","0","0","0","0","1","1","1","0","0"
"Presidential Electors","East Baton Rouge","03","030 B","70","0","337","0","0","0","0","0","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","03","031 A","60","7","175","0","2","0","1","1","2","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","031 B","58","6","153","2","0","0","1","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","032","216","4","197","0","0","0","1","1","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","033 A","148","16","312","0","0","0","0","0","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","03","033 B","149","9","343","0","0","0","0","0","0","0","2","1","0"
"Presidential Electors","East Baton Rouge","03","034 A","132","13","205","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","034 B","103","4","229","0","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","035 A","112","6","245","3","2","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","035 B","109","13","255","1","0","0","1","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","036","94","8","307","0","1","0","0","1","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","037","70","8","295","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","038 A","83","7","290","1","0","1","0","0","0","1","0","0","0"
"Presidential Electors","East Baton Rouge","03","038 B","99","7","331","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","039","157","4","68","2","0","0","0","0","1","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","040 A","102","10","229","2","0","0","0","0","1","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","040 B","100","7","257","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","041 A","110","11","278","0","2","0","0","0","0","1","0","0","0"
"Presidential Electors","East Baton Rouge","03","041 B","94","11","267","0","0","1","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","043 A","61","5","236","0","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","043 B","45","3","214","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","044 A","223","0","16","0","0","0","0","0","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","03","044 B","234","1","24","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","045 A","69","8","191","0","2","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","045 B","81","6","220","0","0","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","046","51","11","480","0","0","0","0","0","0","0","1","0","1"
"Presidential Electors","East Baton Rouge","03","047 A","72","11","318","1","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","047 B","96","14","306","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","048 A","62","4","279","0","0","0","1","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","048 B","82","7","191","1","0","0","0","0","0","0","0","2","1"
"Presidential Electors","East Baton Rouge","03","049 A","94","2","111","0","1","0","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","049 B","89","5","118","0","0","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","03","050 A","147","4","154","4","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","050 B","131","7","166","2","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","051","69","8","142","0","0","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","03","052 A","117","4","154","1","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","052 B","107","13","124","0","0","0","0","0","0","0","0","1","1"
"Presidential Electors","East Baton Rouge","03","053 A","58","4","155","1","1","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","053 B","56","7","206","0","0","0","1","0","2","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","054","141","1","32","0","0","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","03","055 A","252","2","18","2","1","0","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","03","055 B","246","0","20","0","0","0","0","0","0","0","0","0","1"
"Presidential Electors","East Baton Rouge","03","056","172","12","430","2","1","0","0","0","1","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","057","264","6","203","0","2","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","058","108","5","186","1","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","059","154","11","259","2","0","0","0","1","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","060 A","110","8","176","1","0","1","0","0","0","0","0","2","0"
"Presidential Electors","East Baton Rouge","03","060 B","119","2","169","0","1","1","0","0","0","0","0","3","0"
"Presidential Electors","East Baton Rouge","03","061","62","17","596","0","0","0","0","0","1","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","062","38","2","201","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","063","174","10","213","2","0","0","0","1","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","064","72","1","218","0","2","0","0","0","1","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","065","161","11","210","0","2","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","066","131","9","438","1","2","0","1","1","0","1","0","1","0"
"Presidential Electors","East Baton Rouge","03","067","59","6","321","2","0","0","0","0","0","1","0","0","0"
"Presidential Electors","East Baton Rouge","03","068","63","2","200","1","0","0","0","0","1","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","069 A","122","11","213","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","069 B","114","12","238","3","0","0","1","0","0","0","0","1","0"
"Presidential Electors","East Baton Rouge","03","070 A","60","11","269","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","070 B","52","5","273","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Baton Rouge","03","071","48","9","257","0","0","0","1","0","0","0","0","3","1"
"Presidential Electors","East Baton Rouge","03","072","246","6","196","5","0","0","0","0","1","0","0","2","1"
"Presidential Electors","East Baton Rouge","Early Voting","","58971","808","39344","99","60","38","28","28","28","56","17","137","31"
"Presidential Electors","East Baton Rouge","Provisional Votes","","44","0","24","0","1","0","0","0","0","0","1","1","0"
"Presidential Electors","East Carroll","00","01","57","2","135","0","0","0","0","0","0","0","0","1","0"
"Presidential Electors","East Carroll","00","03","10","1","11","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Carroll","00","04","6","0","18","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Carroll","00","05","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Carroll","00","05A","3","0","7","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Carroll","00","05B","4","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Carroll","00","06","136","2","3","2","0","1","1","0","0","0","0","0","0"
"Presidential Electors","East Carroll","00","07","130","1","8","1","0","3","0","0","0","0","0","0","0"
"Presidential Electors","East Carroll","00","09","110","1","7","2","1","1","0","0","0","0","0","1","0"
"Presidential Electors","East Carroll","00","10","85","0","2","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","East Carroll","00","13","157","3","14","1","0","1","0","0","0","0","0","0","1"
