Office,Parish,Ward,Precinct,"Belden ""Noonie Man"" Batiste (IND)","Glenn Adrain Harris (DEM)","Colby James (IND)","Cedric L. Richmond (DEM)","David M. Schilling (REP)","Sheldon C. Vincent, Sr. (REP)"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","133","8","45","6","167","22","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","138","3","10","2","50","12","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","150","34","103","12","408","284","69"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","151","31","64","14","373","259","48"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","152","10","24","8","150","86","32"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","153","17","58","6","383","4","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","154","11","35","4","388","6","6"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","155","11","24","2","82","131","38"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","156","22","71","11","351","66","21"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","157A","30","86","20","300","259","72"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","157B","0","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","170","18","42","12","147","264","83"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","171","1","11","1","26","8","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","172","10","27","9","104","139","45"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","173","7","24","5","134","19","6"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","174","6","14","0","40","41","13"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","175","14","19","5","82","140","32"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","176","6","12","5","55","89","20"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","177","12","19","5","74","162","55"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","178","4","14","6","51","113","38"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","179A","19","30","3","248","212","61"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","179B","3","19","3","148","11","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","180","8","44","5","288","3","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","181","12","32","3","317","25","17"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","182","15","13","4","62","107","35"
